simulation_id,scenario_id,replicate,n_snps,n_sample,p_pop_hybridisation,p_individual_hybrid_given_pop,p_individual_hybrid_unconditional,expected_n_hybrid,prob_sample_contains_at_least_one_hybrid_theory,pop_hybridisation_occurred,true_n_hybrid,true_n_nonhybrid,true_any_hybrid,detected_hybrid_n_by_q,detected_true_hybrid_n_by_q,false_positive_n_by_q,false_negative_n_by_q,detected_any_true_hybrid_by_q,any_false_positive_by_q,mean_q_trout_hat,min_q_trout_hat,max_q_trout_hat,class_counts
1,snps_5_sample_10_pop_1_ind_0,1,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
2,snps_5_sample_10_pop_1_ind_0,2,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
3,snps_5_sample_10_pop_1_ind_0,3,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
4,snps_5_sample_10_pop_1_ind_0,4,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
5,snps_5_sample_10_pop_1_ind_0,5,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.8,0,1,nonhybrid_Salmon=2; nonhybrid_Trout=8
6,snps_5_sample_10_pop_1_ind_0,6,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
7,snps_5_sample_10_pop_1_ind_0,7,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
8,snps_5_sample_10_pop_1_ind_0,8,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
9,snps_5_sample_10_pop_1_ind_0,9,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.3,0,1,nonhybrid_Salmon=7; nonhybrid_Trout=3
10,snps_5_sample_10_pop_1_ind_0,10,5,10,1,0,0,0,0,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.6,0,1,nonhybrid_Salmon=4; nonhybrid_Trout=6
11,snps_5_sample_10_pop_1_ind_0.001,1,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
12,snps_5_sample_10_pop_1_ind_0.001,2,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.8,0,1,nonhybrid_Salmon=2; nonhybrid_Trout=8
13,snps_5_sample_10_pop_1_ind_0.001,3,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
14,snps_5_sample_10_pop_1_ind_0.001,4,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.8,0,1,nonhybrid_Salmon=2; nonhybrid_Trout=8
15,snps_5_sample_10_pop_1_ind_0.001,5,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.5,0,1,nonhybrid_Salmon=5; nonhybrid_Trout=5
16,snps_5_sample_10_pop_1_ind_0.001,6,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.7,0,1,nonhybrid_Salmon=3; nonhybrid_Trout=7
17,snps_5_sample_10_pop_1_ind_0.001,7,5,10,1,0.001,0.001,0.01,0.009955119790251765,TRUE,0,10,FALSE,0,0,0,0,FALSE,FALSE,0.4,0,1,nonhybrid_Salmon=6; nonhybrid_Trout=4
